time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timeUTC
1603137600,11738.05,11672.81,11694.29,1072.89,12558141.39,11735.06,direct,,2020-10-20 05:00:00
1603141200,11759.69,11710.22,11735.06,884.94,10387247.77,11755.76,direct,,2020-10-20 06:00:00
1603144800,11783.34,11728.3,11755.76,1068.86,12565118.76,11742.52,direct,,2020-10-20 07:00:00
1603148400,11757.15,11718.6,11742.52,995.67,11682295.1,11756.88,direct,,2020-10-20 08:00:00
1603152000,11759.39,11711.79,11756.88,1052.58,12348227.94,11731.66,direct,,2020-10-20 09:00:00
1603155600,11740.3,11688.39,11731.66,1165.31,13644783.32,11700.36,direct,,2020-10-20 10:00:00
1603159200,11733.95,11696.39,11700.36,755.5,8853102.25,11727.5,direct,,2020-10-20 11:00:00
1603162800,11768.58,11714.96,11727.5,1189.88,13967582.95,11747.49,direct,,2020-10-20 12:00:00
1603166400,11759.88,11726.36,11747.49,679.4,7972634.43,11728.72,direct,,2020-10-20 13:00:00
1603170000,11764.85,11722.65,11728.72,646.94,7596271.87,11763.93,direct,,2020-10-20 14:00:00
1603173600,11802.04,11748.49,11763.93,1302.29,15334977.63,11794.3,direct,,2020-10-20 15:00:00
1603177200,11850.81,11723.88,11794.3,2548.36,30067348.0,11742.74,direct,,2020-10-20 16:00:00
1603180800,11766.44,11709.03,11742.74,1232.38,14462281.93,11747.36,direct,,2020-10-20 17:00:00
1603184400,11820.16,11735.96,11747.36,1112.68,13094595.47,11797.29,direct,,2020-10-20 18:00:00
1603188000,11845.97,11784.4,11797.29,1210.92,14299827.73,11841.63,direct,,2020-10-20 19:00:00
1603191600,11929.51,11757.22,11841.63,5359.36,63508344.11,11776.46,direct,,2020-10-20 20:00:00
1603195200,11894.77,11767.7,11776.46,1984.94,23505227.08,11884.75,direct,,2020-10-20 21:00:00
1603198800,11945.78,11838.84,11884.75,2776.37,33003960.82,11935.33,direct,,2020-10-20 22:00:00
1603202400,11954.57,11882.4,11935.33,3361.8,40086155.36,11926.0,direct,,2020-10-20 23:00:00
1603206000,11990.37,11902.65,11926.0,4528.02,54095797.9,11932.04,direct,,2020-10-21 00:00:00
1603209600,11992.62,11913.69,11932.04,3157.58,37778260.79,11975.49,direct,,2020-10-21 01:00:00
1603213200,12047.73,11956.1,11975.49,4102.44,49210751.0,11970.31,direct,,2020-10-21 02:00:00
1603216800,11980.54,11929.42,11970.31,1751.25,20926977.23,11973.25,direct,,2020-10-21 03:00:00
1603220400,11987.78,11911.05,11973.25,2304.44,27506600.49,11927.28,direct,,2020-10-21 04:00:00
1603224000,11927.28,11868.82,11927.28,2238.97,26616015.19,11905.87,direct,,2020-10-21 05:00:00
1603227600,11938.61,11887.02,11905.87,1006.7,11989022.41,11931.2,direct,,2020-10-21 06:00:00
1603231200,11964.3,11927.6,11931.2,1696.06,20262271.87,11964.3,direct,,2020-10-21 07:00:00
1603234800,11968.77,11898.51,11964.3,1340.45,15997131.94,11921.78,direct,,2020-10-21 08:00:00
1603238400,11999.06,11900.51,11921.78,1196.5,14302104.48,11998.55,direct,,2020-10-21 09:00:00
1603242000,12032.35,11980.76,11998.55,2171.37,26065717.06,12007.04,direct,,2020-10-21 10:00:00
1603245600,12138.97,11989.13,12007.04,4162.84,50239738.07,12131.31,direct,,2020-10-21 11:00:00
1603249200,12242.71,12131.31,12131.31,5466.2,66692063.16,12199.85,direct,,2020-10-21 12:00:00
1603252800,12310.72,12184.37,12199.85,3202.23,39233782.65,12283.31,direct,,2020-10-21 13:00:00
1603256400,12290.07,12232.99,12283.31,2223.34,27241192.16,12249.66,direct,,2020-10-21 14:00:00
1603260000,12294.87,12240.31,12249.66,2078.57,25476187.38,12248.11,direct,,2020-10-21 15:00:00
1603263600,12256.52,12149.24,12248.11,3508.54,42780041.89,12202.39,direct,,2020-10-21 16:00:00
1603267200,12210.99,12147.93,12202.39,1399.66,17044650.59,12157.09,direct,,2020-10-21 17:00:00
1603270800,12209.52,12144.47,12157.09,1565.84,19077605.19,12205.3,direct,,2020-10-21 18:00:00
1603274400,12263.89,12205.14,12205.3,1529.88,18709628.36,12224.84,direct,,2020-10-21 19:00:00
1603278000,12376.09,12191.03,12224.84,4609.74,56692529.62,12342.66,direct,,2020-10-21 20:00:00
1603281600,12446.83,12289.03,12342.66,5827.42,72096848.88,12423.07,direct,,2020-10-21 21:00:00
1603285200,12487.84,12373.36,12423.07,5920.88,73632342.26,12487.84,direct,,2020-10-21 22:00:00
1603288800,12795.18,12437.5,12487.84,10989.28,139228352.01,12741.41,direct,,2020-10-21 23:00:00
1603292400,12752.04,12650.44,12741.41,6085.04,77340885.46,12744.55,direct,,2020-10-22 00:00:00
1603296000,12902.78,12734.83,12744.55,7114.67,91367919.38,12840.52,direct,,2020-10-22 01:00:00
1603299600,12869.08,12752.47,12840.52,4017.88,51496100.67,12780.09,direct,,2020-10-22 02:00:00
1603303200,12803.89,12741.39,12780.09,2278.1,29081638.24,12779.77,direct,,2020-10-22 03:00:00
1603306800,12802.18,12679.4,12779.77,3373.05,42954265.67,12695.15,direct,,2020-10-22 04:00:00
1603310400,12856.25,12694.65,12695.15,2537.83,32394338.92,12851.37,direct,,2020-10-22 05:00:00
1603314000,12991.52,12794.16,12851.37,4879.34,63004297.58,12931.82,direct,,2020-10-22 06:00:00
