time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timeUTC
1576144800,7219.93,7149.15,7170.18,1536.79,11041994.81,7166.14,direct,,2019-12-12 19:00:00
1576148400,7208.36,7166.03,7166.14,785.11,5654607.43,7199.79,direct,,2019-12-12 20:00:00
1576152000,7222.43,7194.87,7199.79,672.46,4855213.22,7199.97,direct,,2019-12-12 21:00:00
1576155600,7211.8,7187.29,7199.97,807.61,5821087.81,7201.38,direct,,2019-12-12 22:00:00
1576159200,7229.22,7152.84,7201.38,1606.06,11537799.57,7173.5,direct,,2019-12-12 23:00:00
1576162800,7202.12,7162.03,7173.5,856.09,6141960.66,7202.12,direct,,2019-12-13 00:00:00
1576166400,7225.83,7192.73,7202.12,1376.21,9922529.82,7212.33,direct,,2019-12-13 01:00:00
1576170000,7222.08,7200.95,7212.33,586.49,4235649.04,7213.47,direct,,2019-12-13 02:00:00
1576173600,7234.95,7200.95,7213.47,1353.88,9767060.92,7224.86,direct,,2019-12-13 03:00:00
1576177200,7231.08,7208.79,7224.86,870.0,6278416.6,7218.46,direct,,2019-12-13 04:00:00
1576180800,7264.55,7213.44,7218.46,2150.03,15543777.39,7260.58,direct,,2019-12-13 05:00:00
1576184400,7266.49,7205.55,7260.58,975.15,7069006.59,7212.6,direct,,2019-12-13 06:00:00
1576188000,7222.67,7197.56,7212.6,821.99,5954038.91,7204.59,direct,,2019-12-13 07:00:00
1576191600,7219.2,7198.36,7204.59,642.68,4638333.63,7199.39,direct,,2019-12-13 08:00:00
1576195200,7223.47,7199.39,7199.39,739.6,5337806.88,7209.57,direct,,2019-12-13 09:00:00
1576198800,7220.23,7199.85,7209.57,637.5,4600555.03,7205.44,direct,,2019-12-13 10:00:00
1576202400,7224.59,7203.24,7205.44,523.86,3784978.27,7217.03,direct,,2019-12-13 11:00:00
1576206000,7239.42,7211.09,7217.03,541.95,3926930.14,7229.49,direct,,2019-12-13 12:00:00
1576209600,7247.57,7229.4,7229.49,536.98,3888345.59,7233.47,direct,,2019-12-13 13:00:00
1576213200,7237.93,7220.64,7233.47,702.95,5091759.38,7229.34,direct,,2019-12-13 14:00:00
1576216800,7237.24,7215.45,7229.34,387.15,2808532.23,7225.13,direct,,2019-12-13 15:00:00
1576220400,7250.64,7218.84,7225.13,738.64,5342107.43,7241.01,direct,,2019-12-13 16:00:00
1576224000,7253.6,7211.81,7241.01,1355.72,9790918.33,7220.5,direct,,2019-12-13 17:00:00
1576227600,7234.58,7217.02,7220.5,472.78,3423988.93,7219.7,direct,,2019-12-13 18:00:00
1576231200,7232.68,7217.48,7219.7,339.53,2459693.03,7227.46,direct,,2019-12-13 19:00:00
1576234800,7245.84,7223.46,7227.46,463.22,3354372.23,7235.63,direct,,2019-12-13 20:00:00
1576238400,7237.18,7215.11,7235.63,640.52,4631577.03,7236.75,direct,,2019-12-13 21:00:00
1576242000,7245.95,7231.35,7236.75,527.28,3816853.97,7245.95,direct,,2019-12-13 22:00:00
1576245600,7247.49,7231.39,7245.95,999.04,7235964.52,7238.39,direct,,2019-12-13 23:00:00
1576249200,7274.52,7237.35,7238.39,1354.9,9831370.43,7269.85,direct,,2019-12-14 00:00:00
1576252800,7308.08,7266.88,7269.85,1722.06,12546266.85,7291.69,direct,,2019-12-14 01:00:00
1576256400,7302.9,7271.98,7291.69,1247.28,9087525.47,7286.17,direct,,2019-12-14 02:00:00
1576260000,7293.7,7240.25,7286.17,1188.26,8627774.06,7245.97,direct,,2019-12-14 03:00:00
1576263600,7278.41,7240.11,7245.97,1212.01,8801753.58,7269.55,direct,,2019-12-14 04:00:00
1576267200,7279.76,7263.5,7269.55,520.21,3783770.47,7274.4,direct,,2019-12-14 05:00:00
1576270800,7274.4,7249.86,7274.4,447.71,3253221.66,7251.61,direct,,2019-12-14 06:00:00
1576274400,7265.11,7240.09,7251.61,1079.86,7830089.32,7251.42,direct,,2019-12-14 07:00:00
1576278000,7264.11,7248.74,7251.42,346.31,2521829.76,7261.72,direct,,2019-12-14 08:00:00
1576281600,7268.26,7251.16,7261.72,303.07,2206271.59,7257.22,direct,,2019-12-14 09:00:00
1576285200,7278.62,7251.77,7257.22,356.36,2593859.41,7273.72,direct,,2019-12-14 10:00:00
1576288800,7278.78,7262.46,7273.72,354.56,2579696.68,7263.65,direct,,2019-12-14 11:00:00
1576292400,7268.97,7253.88,7263.65,312.19,2275118.94,7264.84,direct,,2019-12-14 12:00:00
1576296000,7275.81,7264.76,7264.84,295.01,2151716.37,7270.71,direct,,2019-12-14 13:00:00
1576299600,7280.08,7266.63,7270.71,403.55,2940569.33,7276.18,direct,,2019-12-14 14:00:00
1576303200,7283.78,7256.98,7276.18,251.82,1837325.03,7258.32,direct,,2019-12-14 15:00:00
1576306800,7273.8,7254.66,7258.32,266.22,1940822.21,7268.09,direct,,2019-12-14 16:00:00
1576310400,7273.13,7190.51,7268.09,1666.25,12011190.92,7198.6,direct,,2019-12-14 17:00:00
1576314000,7216.59,7180.59,7198.6,479.24,3456962.1,7203.6,direct,,2019-12-14 18:00:00
1576317600,7212.69,7191.64,7203.6,405.22,2931702.65,7201.7,direct,,2019-12-14 19:00:00
1576321200,7206.94,7165.33,7201.7,522.24,3760291.1,7200.31,direct,,2019-12-14 20:00:00
1576324800,7204.81,7167.65,7200.31,313.17,2255485.83,7173.53,direct,,2019-12-14 21:00:00
1576328400,7178.38,7152.97,7173.53,658.98,4728488.19,7160.6,direct,,2019-12-14 22:00:00
1576332000,7170.24,7139.18,7160.6,955.76,6826978.61,7164.53,direct,,2019-12-14 23:00:00
