Time,yhat_inverse,testY_inverse
0,23494.61133,23479.13672
1,23142.68164,23313.66211
2,23561.68359,23331.19727
3,23230.18359,23316.0625
4,23755.0918,23478.72656
5,23482.79492,23411.20898
6,23458.02148,23393.35938
7,23399.42773,23621.00586
8,23420.10938,23507.36523
9,23647.67773,23810.11523
10,23567.80078,23833.02539
11,23567.73438,23723.14258
12,23557.70313,23700.48633
13,23346.89258,23562.32227
14,23066.77344,23568.28125
15,23242.64453,23700.72266
16,23623.50195,23696.49609
17,23328.58594,23727.39648
18,23371.77734,23756.08594
19,23728.32227,23785.33789
20,23526.41797,24037.30273
21,23413.93359,24088.82031
22,23464.52344,24686.25586
23,23539.69922,24465.14258
