Time,yhat_inverse,testY_inverse
0,24742.83008,24623.72852
1,24368.46875,24154.02539
2,24753.79297,24127.86719
3,24454.75781,24190.89648
4,25004.64453,24301.22852
5,24751.34961,24471.30469
6,24704.36719,24561.42188
7,24641.98438,24566.64648
8,24670.73438,24532.8457
9,24870.41602,24694.17578
10,24826.55273,24837.0332
11,24819.44922,24728.21289
12,24806.76953,25024.02148
13,24597.23438,24957.46094
14,24311.43555,25025.78516
15,24500.62891,24937.09961
16,24869.35156,24836.57422
17,24541.4707,24960.17578
18,24616.30078,24911.63672
19,24963.78711,25046.65625
20,24767.23242,24985.03516
21,24637.95117,24847.17773
22,24689.33594,24967.55273
23,24754.11133,25018.84766
