Time,val,value
0,predict,24742.83008
1,predict,24368.46875
2,predict,24753.79297
3,predict,24454.75781
4,predict,25004.64453
5,predict,24751.34961
6,predict,24704.36719
7,predict,24641.98438
8,predict,24670.73438
9,predict,24870.41602
10,predict,24826.55273
11,predict,24819.44922
12,predict,24806.76953
13,predict,24597.23438
14,predict,24311.43555
15,predict,24500.62891
16,predict,24869.35156
17,predict,24541.4707
18,predict,24616.30078
19,predict,24963.78711
20,predict,24767.23242
21,predict,24637.95117
22,predict,24689.33594
23,predict,24754.11133
0,true ,24623.72852
1,true ,24154.02539
2,true ,24127.86719
3,true ,24190.89648
4,true ,24301.22852
5,true ,24471.30469
6,true ,24561.42188
7,true ,24566.64648
8,true ,24532.8457
9,true ,24694.17578
10,true ,24837.0332
11,true ,24728.21289
12,true ,25024.02148
13,true ,24957.46094
14,true ,25025.78516
15,true ,24937.09961
16,true ,24836.57422
17,true ,24960.17578
18,true ,24911.63672
19,true ,25046.65625
20,true ,24985.03516
21,true ,24847.17773
22,true ,24967.55273
23,true ,25018.84766
