time,var,value
0,inputs,23479.13672
1,inputs,23313.66211
2,inputs,23331.19727
3,inputs,23316.0625
4,inputs,23478.72656
5,inputs,23411.20898
6,inputs,23393.35938
7,inputs,23621.00586
8,inputs,23507.36523
9,inputs,23810.11523
10,inputs,23833.02539
11,inputs,23723.14258
12,inputs,23700.48633
13,inputs,23562.32227
14,inputs,23568.28125
15,inputs,23700.72266
16,inputs,23696.49609
17,inputs,23727.39648
18,inputs,23756.08594
19,inputs,23785.33789
20,inputs,24037.30273
21,inputs,24088.82031
22,inputs,24686.25586
23,inputs,24465.14258
24,true,24623.72852
25,true,24154.02539
26,true,24127.86719
27,true,24190.89648
28,true,24301.22852
29,true,24471.30469
30,true,24561.42188
31,true,24566.64648
32,true,24532.8457
33,true,24694.17578
34,true,24837.0332
35,true,24728.21289
36,true,25024.02148
37,true,24957.46094
38,true,25025.78516
39,true,24937.09961
40,true,24836.57422
41,true,24960.17578
42,true,24911.63672
43,true,25046.65625
44,true,24985.03516
45,true,24847.17773
46,true,24967.55273
47,true,25018.84766
24,cl_predict,24215.66016
25,cl_predict,24257.43359
26,cl_predict,24293.875
27,cl_predict,24329.39844
28,cl_predict,24324.72266
29,cl_predict,24212.90039
30,cl_predict,24278.94336
31,cl_predict,24247.47656
32,cl_predict,24206.47461
33,cl_predict,24282.24805
34,cl_predict,24272.26758
35,cl_predict,24279.07422
36,cl_predict,24347.15039
37,cl_predict,24253.57422
38,cl_predict,24305.31836
39,cl_predict,24264.49805
40,cl_predict,24397.91406
41,cl_predict,24393.72852
42,cl_predict,24377.49609
43,cl_predict,24362.54688
44,cl_predict,24288.82813
45,cl_predict,24349.47656
46,cl_predict,24345.04102
47,cl_predict,24338.9082
24,lc_predict,24814.37891
25,lc_predict,24418.12109
26,lc_predict,24643.15039
27,lc_predict,24460.21094
28,lc_predict,24447.63086
29,lc_predict,24705.96875
30,lc_predict,24586.92383
31,lc_predict,24770.06836
32,lc_predict,24701.53906
33,lc_predict,24600.12109
34,lc_predict,24449.76563
35,lc_predict,24215.81055
36,lc_predict,24229.61914
37,lc_predict,24661.48047
38,lc_predict,24502.19727
39,lc_predict,24879.49219
40,lc_predict,24842.10938
41,lc_predict,24400.87109
42,lc_predict,24565.65625
43,lc_predict,24642.02539
44,lc_predict,24249.06641
45,lc_predict,24407.9043
46,lc_predict,24341.44531
47,lc_predict,24564.32227
24,lrc_predict,24742.83008
25,lrc_predict,24368.46875
26,lrc_predict,24753.79297
27,lrc_predict,24454.75781
28,lrc_predict,25004.64453
29,lrc_predict,24751.34961
30,lrc_predict,24704.36719
31,lrc_predict,24641.98438
32,lrc_predict,24670.73438
33,lrc_predict,24870.41602
34,lrc_predict,24826.55273
35,lrc_predict,24819.44922
36,lrc_predict,24806.76953
37,lrc_predict,24597.23438
38,lrc_predict,24311.43555
39,lrc_predict,24500.62891
40,lrc_predict,24869.35156
41,lrc_predict,24541.4707
42,lrc_predict,24616.30078
43,lrc_predict,24963.78711
44,lrc_predict,24767.23242
45,lrc_predict,24637.95117
46,lrc_predict,24689.33594
47,lrc_predict,24754.11133
