time,var_1,var_2,var_3,var_4,value_1,value_2
0,inputs,,,,23479.13672,
1,inputs,,,,23313.66211,
2,inputs,,,,23331.19727,
3,inputs,,,,23316.0625,
4,inputs,,,,23478.72656,
5,inputs,,,,23411.20898,
6,inputs,,,,23393.35938,
7,inputs,,,,23621.00586,
8,inputs,,,,23507.36523,
9,inputs,,,,23810.11523,
10,inputs,,,,23833.02539,
11,inputs,,,,23723.14258,
12,inputs,,,,23700.48633,
13,inputs,,,,23562.32227,
14,inputs,,,,23568.28125,
15,inputs,,,,23700.72266,
16,inputs,,,,23696.49609,
17,inputs,,,,23727.39648,
18,inputs,,,,23756.08594,
19,inputs,,,,23785.33789,
20,inputs,,,,24037.30273,
21,inputs,,,,24088.82031,
22,inputs,,,,24686.25586,
23,inputs,,,,24465.14258,
24,,TRUE,TRUE,TRUE,,24623.72852
25,,TRUE,TRUE,TRUE,,24154.02539
26,,TRUE,TRUE,TRUE,,24127.86719
27,,TRUE,TRUE,TRUE,,24190.89648
28,,TRUE,TRUE,TRUE,,24301.22852
29,,TRUE,TRUE,TRUE,,24471.30469
30,,TRUE,TRUE,TRUE,,24561.42188
31,,TRUE,TRUE,TRUE,,24566.64648
32,,TRUE,TRUE,TRUE,,24532.8457
33,,TRUE,TRUE,TRUE,,24694.17578
34,,TRUE,TRUE,TRUE,,24837.0332
35,,TRUE,TRUE,TRUE,,24728.21289
36,,TRUE,TRUE,TRUE,,25024.02148
37,,TRUE,TRUE,TRUE,,24957.46094
38,,TRUE,TRUE,TRUE,,25025.78516
39,,TRUE,TRUE,TRUE,,24937.09961
40,,TRUE,TRUE,TRUE,,24836.57422
41,,TRUE,TRUE,TRUE,,24960.17578
42,,TRUE,TRUE,TRUE,,24911.63672
43,,TRUE,TRUE,TRUE,,25046.65625
44,,TRUE,TRUE,TRUE,,24985.03516
45,,TRUE,TRUE,TRUE,,24847.17773
46,,TRUE,TRUE,TRUE,,24967.55273
47,,TRUE,TRUE,TRUE,,25018.84766
24,,predict,,,,24215.66016
25,,predict,,,,24257.43359
26,,predict,,,,24293.875
27,,predict,,,,24329.39844
28,,predict,,,,24324.72266
29,,predict,,,,24212.90039
30,,predict,,,,24278.94336
31,,predict,,,,24247.47656
32,,predict,,,,24206.47461
33,,predict,,,,24282.24805
34,,predict,,,,24272.26758
35,,predict,,,,24279.07422
36,,predict,,,,24347.15039
37,,predict,,,,24253.57422
38,,predict,,,,24305.31836
39,,predict,,,,24264.49805
40,,predict,,,,24397.91406
41,,predict,,,,24393.72852
42,,predict,,,,24377.49609
43,,predict,,,,24362.54688
44,,predict,,,,24288.82813
45,,predict,,,,24349.47656
46,,predict,,,,24345.04102
47,,predict,,,,24338.9082
24,,,predict,,,24814.37891
25,,,predict,,,24418.12109
26,,,predict,,,24643.15039
27,,,predict,,,24460.21094
28,,,predict,,,24447.63086
29,,,predict,,,24705.96875
30,,,predict,,,24586.92383
31,,,predict,,,24770.06836
32,,,predict,,,24701.53906
33,,,predict,,,24600.12109
34,,,predict,,,24449.76563
35,,,predict,,,24215.81055
36,,,predict,,,24229.61914
37,,,predict,,,24661.48047
38,,,predict,,,24502.19727
39,,,predict,,,24879.49219
40,,,predict,,,24842.10938
41,,,predict,,,24400.87109
42,,,predict,,,24565.65625
43,,,predict,,,24642.02539
44,,,predict,,,24249.06641
45,,,predict,,,24407.9043
46,,,predict,,,24341.44531
47,,,predict,,,24564.32227
24,,,,predict,,24742.83008
25,,,,predict,,24368.46875
26,,,,predict,,24753.79297
27,,,,predict,,24454.75781
28,,,,predict,,25004.64453
29,,,,predict,,24751.34961
30,,,,predict,,24704.36719
31,,,,predict,,24641.98438
32,,,,predict,,24670.73438
33,,,,predict,,24870.41602
34,,,,predict,,24826.55273
35,,,,predict,,24819.44922
36,,,,predict,,24806.76953
37,,,,predict,,24597.23438
38,,,,predict,,24311.43555
39,,,,predict,,24500.62891
40,,,,predict,,24869.35156
41,,,,predict,,24541.4707
42,,,,predict,,24616.30078
43,,,,predict,,24963.78711
44,,,,predict,,24767.23242
45,,,,predict,,24637.95117
46,,,,predict,,24689.33594
47,,,,predict,,24754.11133
