Time,val,value
0,predict,23494.61133
1,predict,23142.68164
2,predict,23561.68359
3,predict,23230.18359
4,predict,23755.0918
5,predict,23482.79492
6,predict,23458.02148
7,predict,23399.42773
8,predict,23420.10938
9,predict,23647.67773
10,predict,23567.80078
11,predict,23567.73438
12,predict,23557.70313
13,predict,23346.89258
14,predict,23066.77344
15,predict,23242.64453
16,predict,23623.50195
17,predict,23328.58594
18,predict,23371.77734
19,predict,23728.32227
20,predict,23526.41797
21,predict,23413.93359
22,predict,23464.52344
23,predict,23539.69922
0,true ,23479.13672
1,true ,23313.66211
2,true ,23331.19727
3,true ,23316.0625
4,true ,23478.72656
5,true ,23411.20898
6,true ,23393.35938
7,true ,23621.00586
8,true ,23507.36523
9,true ,23810.11523
10,true ,23833.02539
11,true ,23723.14258
12,true ,23700.48633
13,true ,23562.32227
14,true ,23568.28125
15,true ,23700.72266
16,true ,23696.49609
17,true ,23727.39648
18,true ,23756.08594
19,true ,23785.33789
20,true ,24037.30273
21,true ,24088.82031
22,true ,24686.25586
23,true ,24465.14258
