time,var_1,var_2,var_3,var_4,value_1,value_2
0,inputs,,,,14.99999619,
1,inputs,,,,12,
2,inputs,,,,12,
3,inputs,,,,12,
4,inputs,,,,18,
5,inputs,,,,17,
6,inputs,,,,16,
7,inputs,,,,16,
8,inputs,,,,11,
9,inputs,,,,14.99999619,
10,inputs,,,,8,
11,inputs,,,,12,
12,inputs,,,,19,
13,inputs,,,,21,
14,inputs,,,,17,
15,inputs,,,,16,
16,inputs,,,,20,
17,inputs,,,,20,
18,inputs,,,,21,
19,inputs,,,,23,
20,inputs,,,,12,
21,inputs,,,,13,
22,inputs,,,,19,
23,inputs,,,,20,
24,,TRUE,TRUE,TRUE,,16
25,,TRUE,TRUE,TRUE,,18
26,,TRUE,TRUE,TRUE,,19
27,,TRUE,TRUE,TRUE,,13
28,,TRUE,TRUE,TRUE,,22
29,,TRUE,TRUE,TRUE,,20
30,,TRUE,TRUE,TRUE,,16
31,,TRUE,TRUE,TRUE,,20
32,,TRUE,TRUE,TRUE,,21
33,,TRUE,TRUE,TRUE,,21
34,,TRUE,TRUE,TRUE,,42
35,,TRUE,TRUE,TRUE,,46
36,,TRUE,TRUE,TRUE,,43
37,,TRUE,TRUE,TRUE,,42
38,,TRUE,TRUE,TRUE,,41.00000763
39,,TRUE,TRUE,TRUE,,46
40,,TRUE,TRUE,TRUE,,54.99999237
41,,TRUE,TRUE,TRUE,,52
42,,TRUE,TRUE,TRUE,,50
43,,TRUE,TRUE,TRUE,,74
44,,TRUE,TRUE,TRUE,,73
45,,TRUE,TRUE,TRUE,,82
46,,TRUE,TRUE,TRUE,,74
47,,TRUE,TRUE,TRUE,,76
24,,predict,,,,8.217559814
25,,predict,,,,11.27552795
26,,predict,,,,11.92304993
27,,predict,,,,12.31931686
28,,predict,,,,18.66923141
29,,predict,,,,20.19739532
30,,predict,,,,17.17434311
31,,predict,,,,27.85681915
32,,predict,,,,24.17656708
33,,predict,,,,28.75647736
34,,predict,,,,37.00265503
35,,predict,,,,32.37227631
36,,predict,,,,36.11251831
37,,predict,,,,33.51434326
38,,predict,,,,38.03300476
39,,predict,,,,38.82580566
40,,predict,,,,46.0453949
41,,predict,,,,42.80760193
42,,predict,,,,45.26700592
43,,predict,,,,46.02088928
44,,predict,,,,48.73922729
45,,predict,,,,53.45294952
46,,predict,,,,50.58554077
47,,predict,,,,51.55574799
24,,,predict,,,9.196315765
25,,,predict,,,11.84859085
26,,,predict,,,13.18125534
27,,,predict,,,20.68940353
28,,,predict,,,17.57012177
29,,,predict,,,21.17854309
30,,,predict,,,24.96795654
31,,,predict,,,22.95647812
32,,,predict,,,24.53736877
33,,,predict,,,26.58996582
34,,,predict,,,27.15927887
35,,,predict,,,34.36250305
36,,,predict,,,32.60433197
37,,,predict,,,35.95223999
38,,,predict,,,37.8693924
39,,,predict,,,40.8455658
40,,,predict,,,43.9059906
41,,,predict,,,45.93126678
42,,,predict,,,47.52937317
43,,,predict,,,46.48414612
44,,,predict,,,48.6178894
45,,,predict,,,49.06102753
46,,,predict,,,49.40484619
47,,,predict,,,49.71735382
24,,,,predict,,20.71382141
25,,,,predict,,22.18517685
26,,,,predict,,23.48527145
27,,,,predict,,25.14647675
28,,,,predict,,25.47655487
29,,,,predict,,24.98049927
30,,,,predict,,26.51841736
31,,,,predict,,31.82956696
32,,,,predict,,31.6104126
33,,,,predict,,36.24183655
34,,,,predict,,35.17431641
35,,,,predict,,36.3416214
36,,,,predict,,39.08557892
37,,,,predict,,41.97914124
38,,,,predict,,41.83306122
39,,,,predict,,42.71124268
40,,,,predict,,45.41121674
41,,,,predict,,48.35511017
42,,,,predict,,48.65233612
43,,,,predict,,51.15027618
44,,,,predict,,53.12819672
45,,,,predict,,53.58952332
46,,,,predict,,55.57227325
47,,,,predict,,57.13106537
