날짜,종가,오픈,고가,저가,변동 %,
2002-03-01,1318.80 ,1318.80 ,1318.80 ,1318.80 ,0.00%,
2002-03-04,1313.20 ,1325.00 ,1325.00 ,1313.20 ,-0.42%,
2002-03-05,1311.40 ,1313.20 ,1313.20 ,1311.40 ,-0.14%,
2002-03-06,1311.30 ,1311.40 ,1320.60 ,1311.30 ,-0.01%,
2002-03-07,1309.50 ,1311.30 ,1311.30 ,1309.50 ,-0.14%,
2002-03-08,1309.30 ,1309.50 ,1309.50 ,1309.30 ,-0.02%,
2002-03-11,1312.00 ,1312.00 ,1312.00 ,1312.00 ,0.21%,
2002-03-12,1313.50 ,1312.00 ,1324.00 ,1312.00 ,0.11%,
2002-03-13,1315.50 ,1313.50 ,1315.50 ,1313.50 ,0.15%,
2002-03-14,1317.10 ,1315.50 ,1317.10 ,1315.50 ,0.12%,
2002-03-15,1317.80 ,1317.10 ,1317.80 ,1317.10 ,0.05%,
2002-03-18,1320.50 ,1317.80 ,1328.00 ,1317.80 ,0.20%,
2002-03-19,1321.50 ,1320.50 ,1332.00 ,1320.00 ,0.08%,
2002-03-20,1320.80 ,1321.50 ,1325.00 ,1320.80 ,-0.05%,
2002-03-21,1321.80 ,1320.80 ,1321.80 ,1320.80 ,0.08%,
2002-03-22,1323.40 ,1327.50 ,1330.00 ,1321.80 ,0.12%,
2002-03-25,1326.50 ,1323.40 ,1326.50 ,1323.40 ,0.23%,
2002-03-26,1324.30 ,1326.50 ,1326.50 ,1324.30 ,-0.17%,
2002-03-27,1322.00 ,1324.30 ,1326.50 ,1322.00 ,-0.17%,
2002-03-28,1322.00 ,1322.00 ,1326.00 ,1322.00 ,0.00%,
2002-03-29,1320.90 ,1322.00 ,1322.00 ,1320.90 ,-0.08%,
2002-04-01,1322.50 ,1329.90 ,1329.90 ,1322.50 ,0.12%,
2002-04-02,1324.00 ,1322.50 ,1333.00 ,1322.50 ,0.11%,
2002-04-03,1324.00 ,1324.00 ,1334.80 ,1324.00 ,0.00%,
2002-04-04,1325.50 ,1324.00 ,1335.60 ,1324.00 ,0.11%,
2002-04-05,1325.50 ,1325.50 ,1327.00 ,1325.50 ,0.00%,
2002-04-08,1323.20 ,1333.00 ,1334.90 ,1323.20 ,-0.17%,
2002-04-09,1324.60 ,1332.20 ,1334.90 ,1324.60 ,0.11%,
2002-04-10,1324.20 ,1334.50 ,1335.00 ,1324.20 ,-0.03%,
2002-04-11,1325.00 ,1333.00 ,1335.60 ,1325.00 ,0.06%,
2002-04-12,1327.00 ,1334.50 ,1337.40 ,1325.00 ,0.15%,
2002-04-15,1322.90 ,1334.40 ,1334.40 ,1322.90 ,-0.31%,
2002-04-16,1320.60 ,1331.80 ,1331.80 ,1320.60 ,-0.17%,
2002-04-17,1313.70 ,1313.70 ,1313.70 ,1313.70 ,-0.52%,
2002-04-18,1308.20 ,1320.60 ,1320.60 ,1308.20 ,-0.42%,
2002-04-19,1307.20 ,1308.20 ,1315.00 ,1307.20 ,-0.08%,
2002-04-22,1303.80 ,1307.20 ,1310.00 ,1303.80 ,-0.26%,
2002-04-23,1301.30 ,1303.80 ,1303.80 ,1301.30 ,-0.19%,
2002-04-24,1302.00 ,1313.00 ,1313.00 ,1301.30 ,0.05%,
2002-04-25,1292.60 ,1302.00 ,1302.00 ,1292.60 ,-0.72%,
2002-04-26,1292.60 ,1302.60 ,1302.60 ,1292.60 ,0.00%,
2002-04-29,1288.60 ,1292.60 ,1292.60 ,1288.60 ,-0.31%,
2002-04-30,1289.00 ,1298.30 ,1299.00 ,1288.60 ,0.03%,
2002-05-01,1289.00 ,1289.00 ,1289.00 ,1289.00 ,0.00%,
2002-05-02,1283.00 ,1289.00 ,1289.00 ,1283.00 ,-0.47%,
2002-05-03,1279.00 ,1283.00 ,1283.00 ,1279.00 ,-0.31%,
2002-05-06,1276.20 ,1283.80 ,1286.80 ,1276.20 ,-0.22%,
2002-05-07,1274.50 ,1285.50 ,1286.40 ,1274.50 ,-0.13%,
2002-05-08,1280.40 ,1290.30 ,1290.30 ,1274.50 ,0.46%,
2002-05-09,1277.40 ,1286.80 ,1286.80 ,1277.40 ,-0.23%,
2002-05-10,1275.00 ,1285.00 ,1285.00 ,1275.00 ,-0.19%,
2002-05-13,1283.00 ,1280.00 ,1283.00 ,1272.40 ,0.63%,
2002-05-14,1274.30 ,1284.30 ,1284.30 ,1272.40 ,-0.68%,
2002-05-15,1272.50 ,1282.20 ,1282.20 ,1272.50 ,-0.14%,
2002-05-16,1264.80 ,1272.50 ,1272.50 ,1264.80 ,-0.61%,
2002-05-17,1256.60 ,1264.80 ,1264.80 ,1256.60 ,-0.65%,
2002-05-20,1248.60 ,1256.50 ,1258.50 ,1248.60 ,-0.64%,
2002-05-21,1244.60 ,1259.30 ,1259.60 ,1244.60 ,-0.32%,
2002-05-22,1237.20 ,1252.20 ,1252.20 ,1237.20 ,-0.59%,
2002-05-23,1236.10 ,1251.10 ,1253.00 ,1236.10 ,-0.09%,
2002-05-24,1233.20 ,1254.50 ,1254.50 ,1233.20 ,-0.23%,
2002-05-27,1223.80 ,1223.80 ,1223.80 ,1223.80 ,-0.76%,
2002-05-28,1227.50 ,1227.50 ,1242.00 ,1223.80 ,0.30%,
2002-05-29,1224.30 ,1238.90 ,1238.90 ,1224.30 ,-0.26%,
2002-05-30,1217.50 ,1234.50 ,1234.50 ,1217.50 ,-0.56%,
2002-05-31,1214.30 ,1231.10 ,1231.10 ,1214.30 ,-0.26%,
2002-06-03,1214.30 ,1231.30 ,1231.30 ,1214.30 ,0.00%,
2002-06-04,1210.10 ,1225.10 ,1225.10 ,1208.10 ,-0.35%,
2002-06-05,1214.00 ,1229.20 ,1230.00 ,1214.00 ,0.32%,
2002-06-06,1225.00 ,1229.20 ,1229.20 ,1214.30 ,0.91%,
2002-06-07,1228.00 ,1213.20 ,1228.00 ,1213.20 ,0.24%,
2002-06-10,1230.00 ,1231.30 ,1231.30 ,1216.50 ,0.16%,
2002-06-11,1215.50 ,1227.00 ,1227.00 ,1215.50 ,-1.18%,
2002-06-12,1223.60 ,1238.40 ,1238.40 ,1223.60 ,0.67%,
2002-06-13,1223.60 ,1223.60 ,1223.60 ,1223.60 ,0.00%,
2002-06-14,1226.10 ,1223.70 ,1237.50 ,1223.00 ,0.20%,
2002-06-17,1231.00 ,1233.00 ,1233.00 ,1216.10 ,0.40%,
2002-06-18,1224.00 ,1238.40 ,1238.40 ,1224.00 ,-0.57%,
2002-06-19,1220.30 ,1220.30 ,1234.00 ,1220.30 ,-0.30%,
