종가,오픈,고가,저가
1154.0,1158.0,1160.8,1154.0
1145.0,1154.0,1155.0,1145.0
1142.25,1149.25,1149.25,1141.75
1144.0,1142.5,1147.4,1141.8
1140.5,1144.0,1145.9,1140.15
1132.5,1137.0,1137.0,1130.9
1135.16,1131.11,1136.7,1129.8
1129.57,1133.97,1136.07,1128.57
1132.6,1130.33,1136.3,1127.0
1129.04,1131.71,1134.11,1126.54
1134.7,1126.9,1137.0,1126.8
1134.5,1133.5,1135.8,1130.4
1128.8,1131.0,1133.5,1127.8
1134.6,1130.9,1135.0,1127.4
1133.59,1134.59,1134.91,1129.8
1135.7,1134.1,1138.3,1134.0
1136.5,1130.4,1137.5,1130.3
1138.0,1134.9,1139.2,1134.7
1142.5,1138.1,1143.9,1138.0
1139.0,1143.9,1145.51,1138.9
1135.5,1139.4,1142.4,1134.4
1131.7,1128.9,1133.1,1128.9
1132.8,1133.0,1135.8,1130.9
1126.35,1129.95,1130.95,1125.25
1126.0,1123.1,1126.0,1121.7
1123.0,1125.9,1128.2,1122.3
1124.55,1121.75,1124.91,1121.65
1122.55,1122.55,1123.45,1120.55
1123.5,1121.3,1125.5,1121.3
1117.5,1119.4,1121.4,1117.5
1115.55,1117.65,1117.65,1111.75
1123.9,1114.0,1125.7,1113.9
1111.75,1123.65,1124.25,1111.1
1109.75,1111.15,1111.55,1107.55
1110.5,1108.3,1116.2,1108.3
1118.4,1111.7,1119.1,1111.7
1117.95,1113.95,1118.35,1113.65
1107.75,1112.85,1113.45,1107.15
1108.4,1109.1,1113.0,1107.1
1108.95,1109.65,1112.05,1108.55
1104.45,1107.65,1107.65,1103.15
1110.5,1105.5,1114.63,1103.3
1119.0,1118.9,1123.5,1116.2
1114.95,1116.15,1116.65,1114.05
1108.5,1107.4,1110.4,1107.4
1118.55,1109.05,1120.25,1107.95
1115.5,1112.3,1117.4,1111.4
1115.5,1115.5,1115.5,1115.5
1141.15,1144.25,1144.25,1133.05
1155.45,1155.05,1169.55,1144.95
1132.05,1148.25,1148.25,1127.15
1134.75,1131.65,1137.65,1124.55
1135.05,1136.25,1146.35,1130.45
1130.5,1134.5,1134.5,1127.2
1131.0,1132.9,1138.7,1127.9
1153.25,1145.75,1157.85,1142.75
1146.5,1152.3,1153.75,1145.3
1164.9,1156.4,1168.5,1156.4
1194.25,1175.75,1197.18,1168.51
1194.0,1194.5,1194.5,1194.0
1214.65,1212.9,1221.25,1203.9
1251.5,1221.4,1278.4,1221.4
1253.5,1250.0,1260.7,1235.1
1223.95,1254.2,1254.2,1217.8
1195.0,1209.5,1209.5,1191.4
1202.12,1209.91,1212.36,1194.81
1216.5,1203.5,1216.9,1198.4
1217.0,1216.5,1217.0,1216.5
1199.0,1200.4,1210.47,1197.8
1201.7,1208.0,1210.1,1196.8
1235.61,1222.91,1243.3,1222.91
1233.99,1234.91,1239.91,1227.41
1247.8,1230.4,1251.6,1230.3
1250.9,1253.4,1271.9,1245.3
1246.15,1230.15,1246.35,1230.15
1221.3,1230.0,1236.0,1220.9
1229.5,1217.4,1229.5,1217.3
1211.5,1205.4,1214.1,1205.4
1212.9,1211.5,1218.55,1210.0
1206.66,1211.41,1214.01,1205.01
1177.05,1173.05,1187.05,1170.05
1184.0,1185.8,1189.7,1173.9
1188.0,1190.9,1194.97,1182.9
1189.0,1187.3,1189.7,1183.3
1215.75,1198.65,1219.05,1194.55
1203.85,1195.8,1204.4,1195.8
1217.85,1203.0,1220.8,1200.9
1223.25,1233.95,1243.55,1221.25
1228.0,1226.9,1239.7,1223.9
1229.8,1221.05,1230.15,1216.95
1223.3,1228.2,1231.9,1218.7
1222.5,1227.4,1234.3,1221.4
1221.3,1213.2,1226.8,1213.1
1209.0,1213.9,1215.4,1208.9
1198.0,1200.4,1205.62,1194.4
1204.35,1192.8,1204.6,1192.8
1213.0,1201.5,1215.2,1195.6
1202.55,1192.9,1204.1,1192.9
1202.5,1199.0,1209.42,1199.0
1203.5,1196.9,1205.8,1196.7
1214.95,1215.95,1219.95,1212.95
1207.4,1215.9,1218.9,1205.8
1204.38,1200.88,1206.38,1197.78
1204.0,1205.9,1209.9,1203.95
1198.88,1194.17,1200.78,1193.28
1191.15,1194.05,1197.55,1189.95
1182.95,1192.0,1192.0,1181.2
1186.0,1184.0,1189.6,1182.9
1186.35,1188.8,1191.9,1185.0
1182.75,1187.25,1189.15,1182.45
1173.5,1181.6,1181.6,1172.3
1168.2,1160.9,1173.2,1160.9
1167.5,1168.5,1172.0,1166.4
1167.25,1165.15,1171.65,1165.05
1161.5,1168.4,1170.1,1161.4
1160.5,1157.3,1162.8,1155.9
1168.75,1159.95,1170.65,1159.95
1182.5,1172.4,1184.2,1170.0
1186.5,1191.0,1200.9,1186.5
1183.85,1187.05,1191.75,1181.05
1187.25,1187.25,1200.35,1185.25
1176.2,1182.1,1185.3,1174.9
1174.15,1176.15,1177.95,1170.05
1173.12,1174.76,1177.76,1170.37
1184.16,1177.76,1184.16,1177.76
1182.32,1183.72,1185.82,1178.62
1192.5,1185.4,1194.1,1185.2
1197.12,1193.76,1199.16,1191.87
1191.07,1200.87,1201.16,1188.76
1196.07,1196.97,1198.57,1193.57
1192.5,1186.3,1194.2,1186.3
1199.0,1196.9,1200.1,1194.8
1184.5,1198.5,1199.5,1184.5
1180.0,1185.0,1185.4,1178.8
1174.0,1178.9,1181.6,1174.0
1172.12,1168.87,1174.16,1168.87
1178.0,1172.05,1179.4,1172.05
1172.25,1179.25,1180.65,1172.25
1167.72,1172.97,1174.07,1166.76
1165.82,1166.87,1169.37,1165.37
1160.0,1165.0,1165.0,1158.8
1160.25,1159.15,1164.35,1157.45
1159.3,1158.3,1166.8,1157.8
1162.8,1159.9,1166.9,1159.8
1160.97,1162.76,1168.26,1160.37
1162.5,1160.9,1165.5,1160.8
1160.5,1160.65,1160.65,1160.5
1150.12,1150.96,1150.96,1150.12
1151.37,1151.37,1151.37,1150.87
1155.16,1154.87,1159.47,1152.87
1146.5,1148.4,1151.2,1146.4
1146.0,1146.5,1150.6,1145.85
1139.5,1147.0,1148.4,1139.5
1140.25,1138.35,1142.55,1138.15
1131.0,1139.5,1140.4,1130.7
1122.5,1123.3,1127.4,1121.75
1123.5,1122.6,1137.6,1122.6
1118.37,1122.96,1124.26,1117.87
1116.5,1116.4,1123.4,1115.85
1121.5,1120.8,1124.8,1116.1
1117.65,1110.85,1123.45,1110.75
1131.12,1117.67,1133.17,1117.67
1119.5,1122.4,1122.7,1117.5
1112.5,1113.4,1119.5,1109.4
1111.25,1112.65,1117.75,1109.75
1117.5,1112.4,1122.8,1112.3
1127.55,1114.85,1132.75,1113.75
1122.5,1138.5,1143.4,1122.5
1129.25,1121.85,1130.75,1119.75
1126.3,1130.6,1135.5,1122.35
1115.85,1118.15,1122.95,1113.05
1125.5,1119.9,1125.5,1117.65
1132.5,1124.4,1135.6,1120.4
1123.75,1138.75,1131.15,1122.65
1124.5,1120.5,1127.5,1118.4
1118.59,1121.16,1122.26,1116.06
1111.5,1118.23,1118.6,1110.9
1108.64,1111.86,1112.46,1108.64
1107.51,1108.76,1110.68,1105.78
1108.1,1104.8,1108.8,1104.8
1116.0,1108.1,1116.8,1107.9
1117.0,1118.0,1122.1,1114.4
1110.6,1115.0,1118.7,1109.85
1111.5,1111.3,1111.8,1106.7
